x n1 n4 n25 cauchy
-1.79 0.0803801090562 0.00131490435131 8.05087718941e-18 0.0757141567003
-1.78 0.0818277759921 0.00141222140098 1.25790288848e-17 0.0763626058401
-1.77 0.0832931860559 0.00151613438286 1.96049297628e-17 0.0770185308582
-1.76 0.084776361308 0.00162704246216 3.04787906478e-17 0.0776820300136
-1.75 0.0862773188265 0.00174536539009 4.72655194095e-17 0.0783532027529
-1.74 0.0877960706109 0.00187154431385 7.3114817875e-17 0.0790321497129
-1.73 0.0893326234877 0.00200604260147 1.12818581276e-16 0.0797189727225
-1.72 0.0908869790163 0.00214934668031 1.73648137428e-16 0.0804137748039
-1.71 0.0924591333966 0.00230196688836 2.66608436791e-16 0.0811166601727
-1.7 0.0940490773769 0.00246443833695 4.08311781583e-16 0.0818277342375
-1.69 0.0956567961635 0.00263732178365 6.23769589835e-16 0.0825471035979
-1.68 0.0972822693315 0.00282120451388 9.50540768954e-16 0.0832748760422
-1.67 0.0989254707363 0.0030167012297 1.44487927901e-15 0.0840111605436
-1.66 0.100586368428 0.00322445494395 2.19081971775e-15 0.0847560672552
-1.65 0.102264924564 0.00344513787811 3.31356872798e-15 0.085509707504
-1.64 0.103961095329 0.00367945236165 4.99918937425e-15 0.0862721937836
-1.63 0.105674830849 0.00392813173101 7.52345725854e-15 0.0870436397451
-1.62 0.107406075113 0.00419194122572 1.12940470158e-14 0.0878241601876
-1.61 0.109154765897 0.00447167887938 1.69120396589e-14 0.0886138710458
-1.6 0.110920834679 0.00476817640293 2.52613554177e-14 0.0894128893775
-1.59 0.112704206576 0.00508230005745 3.76384364452e-14 0.0902213333476
-1.58 0.114504800259 0.00541495151368 5.59397810718e-14 0.0910393222125
-1.57 0.116322527893 0.00576706869521 8.29323963531e-14 0.0918669763006
-1.56 0.11815729506 0.00613962660221 1.22642764285e-13 0.092704416992
-1.55 0.120009000697 0.0065336381124 1.80914722556e-13 0.0935517666962
-1.54 0.121877537032 0.00695015475571 2.66207418613e-13 0.0944091488266
-1.53 0.123762789522 0.00739026745912 3.90733512589e-13 0.0952766877739
-1.52 0.125664636789 0.00785510725785 5.7207824509e-13 0.0961545088762
-1.51 0.127582950572 0.00834584596905 8.35496178519e-13 0.0970427383872
-1.5 0.129517595666 0.00886369682388 1.21716026651e-12 0.0979415034412
-1.49 0.131468429872 0.00940991505387 1.7687454238e-12 0.0988509320157
-1.48 0.133435303951 0.00998579842722 2.5638768184e-12 0.0997711528911
-1.47 0.135418061574 0.0105926877306 3.70717634985e-12 0.100702295607
-1.46 0.137416539282 0.011231967192 5.34691893577e-12 0.101644490415
