n independent dependent
430 0.048224282217 0.31951998882
431 0.0481683050859 0.319512389515
432 0.0481125224325 0.319504825211
433 0.0480569331332 0.319497295669
434 0.0480015360737 0.319489800649
435 0.0479463301485 0.319482339914
436 0.0478913142611 0.31947491323
437 0.0478364873235 0.319467520364
438 0.0477818482567 0.319460161085
439 0.0477273959903 0.319452835165
440 0.0476731294623 0.319445542378
441 0.047619047619 0.3194382825
442 0.0475651494154 0.319431055308
443 0.0475114338146 0.319423860582
444 0.0474578997876 0.319416698103
445 0.047404546314 0.319409567656
446 0.047351372381 0.319402469026
447 0.047298376984 0.319395402
448 0.0472455591262 0.319388366368
449 0.0471929178183 0.319381361922
450 0.0471404520791 0.319374388453
451 0.0470881609348 0.319367445758
452 0.0470360434192 0.319360533633
453 0.0469840985735 0.319353651877
454 0.0469323254464 0.319346800289
455 0.0468807230938 0.319339978672
456 0.0468292905791 0.319333186829
457 0.0467780269725 0.319326424567
458 0.0467269313516 0.319319691692
459 0.0466760028009 0.319312988013
460 0.046625240412 0.319306313341
461 0.0465746432833 0.319299667487
462 0.0465242105199 0.319293050266
463 0.046473941234 0.319286461493
464 0.0464238345443 0.319279900984
465 0.046373889576 0.319273368559
466 0.0463241054612 0.319266864037
467 0.0462744813383 0.31926038724
468 0.0462250163521 0.319253937991
469 0.046175709654 0.319247516115
470 0.0461265604014 0.319241121438
471 0.0460775677584 0.319234753787
472 0.0460287308949 0.319228412991
473 0.0459800489872 0.319222098882
474 0.0459315212175 0.31921581129
475 0.0458831467741 0.319209550048
476 0.0458349248514 0.319203314993
477 0.0457868546496 0.319197105959
478 0.0457389353746 0.319190922785
479 0.0456911662385 0.319184765308
480 0.0456435464588 0.31917863337
481 0.0455960752588 0.319172526811
482 0.0455487518674 0.319166445475
483 0.0455015755193 0.319160389205
484 0.0454545454545 0.319154357846
485 0.0454076609186 0.319148351246
486 0.0453609211627 0.319142369252
487 0.0453143254429 0.319136411713
488 0.0452678730213 0.31913047848
489 0.0452215631646 0.319124569404
490 0.0451753951453 0.319118684338
491 0.0451293682407 0.319112823136
492 0.0450834817334 0.319106985653
493 0.0450377349111 0.319101171745
494 0.0449921270666 0.319095381271
495 0.0449466574975 0.319089614087
496 0.0449013255067 0.319083870055
497 0.0448561304016 0.319078149034
498 0.0448110714948 0.319072450888
499 0.0447661481036 0.319066775479
500 0.04472135955 0.319061122671
501 0.0446767051609 0.31905549233
502 0.0446321842677 0.319049884321
503 0.0445877962068 0.319044298513
504 0.0445435403187 0.319038734773
505 0.044499415949 0.319033192972
506 0.0444554224474 0.319027672979
507 0.0444115591684 0.319022174667
508 0.0443678254708 0.319016697907
509 0.0443242207178 0.319011242573
510 0.044280744277 0.31900580854
511 0.0442373955204 0.319000395683
512 0.0441941738242 0.318995003879
513 0.0441510785688 0.318989633005
514 0.0441081091391 0.31898428294
515 0.0440652649239 0.318978953562
516 0.0440225453163 0.318973644752
517 0.0439799497134 0.318968356392
518 0.0439374775164 0.318963088362
519 0.0438951281306 0.318957840547
520 0.0438529009654 0.31895261283
521 0.0438107954338 0.318947405095
522 0.0437688109532 0.318942217229
523 0.0437269469447 0.318937049118
524 0.0436852028331 0.31893190065
525 0.0436435780472 0.318926771711
526 0.0436020720197 0.318921662193
527 0.0435606841869 0.318916571984
528 0.0435194139889 0.318911500976
529 0.0434782608696 0.318906449059
530 0.0434372242763 0.318901416127
531 0.0433963036603 0.318896402072
532 0.0433554984762 0.318891406788
533 0.0433148081824 0.318886430171
534 0.0432742322408 0.318881472115
535 0.0432337701167 0.318876532518
536 0.0431934212791 0.318871611276
537 0.0431531852002 0.318866708287
538 0.0431130613559 0.318861823449
539 0.0430730492254 0.318856956663
540 0.0430331482912 0.318852107828
541 0.0429933580392 0.318847276846
542 0.0429536779588 0.318842463617
