x n1 n4 n25
5.6 0.0652559589246 0.135873104867 0.300477248063
5.64 0.0647359938865 0.134434057637 0.291835785007
5.68 0.0642201719741 0.132990181568 0.283100873421
5.72 0.0637084601746 0.131542240513 0.274300719539
5.76 0.0632008257384 0.130090976981 0.265462366457
5.8 0.0626972361765 0.128637112286 0.256611614184
5.84 0.0621976592592 0.127181346739 0.247772953286
5.88 0.0617020630133 0.125724359831 0.238969511674
5.92 0.0612104157205 0.124266810448 0.230223014
5.96 0.0607226859151 0.122809337087 0.221553753074
6 0.0602388423824 0.121352558086 0.212980572621
6.04 0.0597588541562 0.119897071874 0.204520860669
6.08 0.0592826905171 0.118443457219 0.196190552818
6.12 0.0588103209903 0.11699227349 0.188004144595
6.16 0.0583417153442 0.11554406093 0.179974712123
6.2 0.0578768435878 0.114099340935 0.172113940274
6.24 0.0574156759691 0.112658616338 0.164432157525
6.28 0.0569581829733 0.1112223717 0.156938376707
6.32 0.0565043353207 0.109791073612 0.149640340888
6.36 0.0560541039648 0.108365170991 0.142544573626
6.4 0.0556074600906 0.106945095392 0.135656432864
6.44 0.0551643751129 0.105531261319 0.128980167794
6.48 0.0547248206741 0.104124066534 0.122518978003
6.52 0.0542887686424 0.102723892378 0.116275074316
6.56 0.0538561911105 0.101331104088 0.11024974073
6.6 0.0534270603932 0.0999460511183 0.104443396932
6.64 0.053001349026 0.0985690674617 0.098855660889
6.68 0.0525790297632 0.0972004719729 0.0934854110797
6.72 0.0521600755762 0.0958405686909 0.088330847955
6.76 0.0517444596519 0.0944896471625 0.0833895542767
6.8 0.0513321553907 0.0931479827651 0.0786585540134
6.84 0.050923136405 0.0918158370288 0.07413436952
6.88 0.0505173765173 0.0904934579577 0.0698130767639
6.92 0.050114849759 0.0891810803497 0.0656903584009
6.96 0.0497155303682 0.0878789261147 0.0617615545384
7 0.0493193927883 0.0865872045912 0.0580217110557
7.04 0.0489264116664 0.0853061128605 0.0544656253852
7.08 0.0485365618515 0.0840358360588 0.051087889685
7.12 0.0481498183932 0.0827765476864 0.0478829313611
7.16 0.0477661565396 0.0815284099147 0.0448450509212
7.2 0.0473855517364 0.0802915738894 0.0419684571652
7.24 0.0470079796247 0.0790661800314 0.0392472997336
7.28 0.0466334160397 0.0778523583335 0.0366756990578
7.32 0.0462618370093 0.0766502286549 0.0342477737666
7.36 0.0458932187522 0.0754599010104 0.0319576656183
7.4 0.0455275376768 0.0742814758575 0.0297995620402
7.44 0.0451647703793 0.0731150443785 0.0277677163636
7.48 0.0448048936425 0.0719606887594 0.0258564658532
7.52 0.0444478844343 0.070818482464 0.024060247633
7.56 0.0440937199058 0.0696884905045 0.0223736126175
7.6 0.0437423773904 0.0685707697079 0.0207912375588
7.64 0.0433938344022 0.0674653689772 0.0193079353223
7.68 0.0430480686341 0.0663723295494 0.0179186635047
7.72 0.0427050579571 0.0652916852486 0.016618531508
7.76 0.0423647804184 0.0642234627344 0.0154028061816
7.8 0.0420272142402 0.0631676817461 0.0142669161429
7.84 0.0416923378179 0.0621243553426 0.0132064548838
7.88 0.0413601297196 0.0610934901375 0.0122171827698
7.92 0.0410305686836 0.0600750865293 0.0112950280301
7.96 0.040703633618 0.0590691389279 0.0104360868383
8 0.0403793035989 0.0580756359759 0.00963662257592
8.04 0.040057557869 0.0570945607651 0.00889306436675
8.08 0.0397383758365 0.0561258910495 0.00820200496668
8.12 0.0394217370736 0.0551695994526 0.00756019808742
8.16 0.0391076213153 0.0542256536707 0.00696455522871
8.2 0.0387960084582 0.0532940166719 0.00641214208803
8.24 0.0384868785588 0.0523746468899 0.00590017461263
8.28 0.0381802118328 0.0514674984142 0.00542601475341
8.32 0.0378759886534 0.0505725211748 0.00498716597587
8.36 0.0375741895501 0.0496896611239 0.00458126857878
8.4 0.0372747952079 0.048818860412 0.00420609486666
8.44 0.0369777864652 0.0479600575598 0.00385954421817
8.48 0.0366831443135 0.0471131876268 0.00353963808843
8.52 0.0363908498956 0.0462781823746 0.00324451497935
8.56 0.0361008845045 0.0454549704263 0.00297242540851
8.6 0.0358132295823 0.0446434774219 0.00272172690379
8.64 0.035527866719 0.0438436261697 0.00249087904751
8.68 0.0352447776514 0.0430553367933 0.002278438591
8.72 0.0349639442615 0.0422785268745 0.00208305465769
8.76 0.034685348576 0.0415131115932 0.00190346405016
8.8 0.0344089727646 0.040759003862 0.00173848667423
8.84 0.0341347991393 0.0400161144584 0.001587021091
8.88 0.0338628101527 0.0392843521518 0.00144804020552
8.92 0.0335929883975 0.0385636238282 0.00132058709932
8.96 0.0333253166051 0.0378538346102 0.00120377101197
9 0.0330597776443 0.037154887974 0.00109676347555
9.04 0.0327963545206 0.0364666858624 0.000998794604494
9.08 0.0325350303747 0.0357891287946 0.000909149542112
9.12 0.0322757884819 0.0351221159731 0.000827165063962
9.16 0.0320186122506 0.034465545386 0.00075222633734
9.2 0.0317634852214 0.0338193139071 0.000683763835334
9.24 0.0315103910661 0.0331833173926 0.000621250403179
9.28 0.0312593135865 0.0325574507741 0.000564198474005
9.32 0.0310102367137 0.0319416081493 0.000512157430614
9.36 0.0307631445067 0.0313356828688 0.000464711109419
9.4 0.0305180211514 0.0307395676208 0.000421475442391
9.44 0.0302748509598 0.0301531545122 0.000382096232524
9.48 0.0300336183691 0.0295763351472 0.000346247058137
9.52 0.0297943079402 0.0290090007032 0.000313627301168
9.56 0.0295569043571 0.0284510420036 0.000283960294482
9.6 0.0293213924261 0.0279023495884 0.000256991583177
9.64 0.0290877570741 0.0273628137817 0.00023248729483
9.68 0.0288559833486 0.0268323247572 0.000210232613627
9.72 0.0286260564158 0.0263107726009 0.000190030353382
9.76 0.0283979615604 0.0257980473711 0.000171699624493
9.8 0.0281716841842 0.0252940391569 0.000155074589995
9.84 0.0279472098054 0.0247986381335 0.000140003305948
9.88 0.0277245240576 0.0243117346156 0.000126346641549
9.92 0.0275036126889 0.0238332191089 0.000113977274477
9.96 0.0272844615607 0.023362982359 0.000102778757136
10 0.0270670566473 0.0229009153981 9.26446496013e-05
10.04 0.0268513840348 0.0224469095908 8.34777152522e-05
10.08 0.0266374299201 0.0220008566762 7.51891752268e-05
10.12 0.02642518061 0.0215626488094 6.76980180039e-05
10.16 0.0262146225204 0.0211321786009 6.0930360588e-05
10.2 0.0260057421757 0.0207093391536 5.48188579356e-05
10.24 0.0257985262073 0.0202940240986 4.93021574314e-05
10.28 0.0255929613534 0.0198861276292 4.43243953842e-05
10.32 0.0253890344578 0.0194855445328 3.98347326744e-05
10.36 0.025186732469 0.0190921702221 3.57869268403e-05
